,energy,pulsewidth,spotsize,targetthickness
207,30.0,30.0,12.413139718894948,2000.0
725,2.32891,30.0,3.3,1111.0
109,965.0,10000.0,40.0,15000.0
174,30.0,30.0,125.79988995096252,2000.0
114,1100.0,1600.0,100.0,33000.0
486,2.30519,30.0,3.3,565.0
1052,1.521625,30.0,3.3,265.0
89,97.92900000000002,475.0,3.385412352,4000.0
87,91.935,10400.0,2.8651586103,4000.0
1066,1.542385,30.0,3.3,268.0
162,2.434255,30.0,3.3,637.0
106,1.5,30.0,6.0,15000.0
605,2.26226,30.0,3.3,265.0
336,2.407515,80.0,3.3,489.0
160,2.430315,30.0,3.3,566.0
745,2.32821,187.0,3.3,756.0
126,10.9,180.0,9.7,3000.0
103,111.29400000000001,475.0,2.317085442,1200.0
387,2.397915,187.0,3.3,682.0
963,1.56387,279.0,3.3,503.0
177,2.44755,30.0,3.3,562.0
401,2.42792,279.0,3.3,601.0
59,118.09800000000001,475.0,2.5303977,4000.0
180,30.0,30.0,80.24968506725811,2000.0
167,2.44831,30.0,3.3,545.0
95,22.275000000000002,4600.0,3.2023220292,4000.0
925,1.554585,80.0,3.3,577.0
253,2.344835,30.0,3.3,784.0
204,30.0,30.0,15.098622754754992,2000.0
1008,1.57704,279.0,3.3,562.0
876,2.354815,279.0,3.3,677.0
243,2.422215,30.0,3.3,763.0
220,2.4045,30.0,3.3,572.0
63,25.110000000000003,475.0,3.3422639,4000.0
1074,1.551915,30.0,3.3,251.0
436,2.382725,30.0,3.3,602.0
36,0.3,116.0,2.3,1500.0
209,30.0,30.0,11.147893338204439,2000.0
48,143.37,500.0,6.22746650475,1000.0
817,2.34746,279.0,3.3,919.0
100,123.09570000000001,475.0,2.5461491328,1200.0
104,54.59400000000001,475.0,2.395046304,4000.0
937,1.54061,187.0,3.3,608.0
310,2.458645,30.0,3.3,814.0
975,1.552315,279.0,3.3,513.0
186,30.0,30.0,56.456571552519044,2000.0
272,0.5,570.0,3.6,7500.0
881,2.31851,279.0,3.3,700.0
918,1.549935,80.0,3.3,635.0
177,30.0,30.0,93.84094977615295,2000.0
643,2.351635,30.0,3.3,395.0
785,2.36465,463.0,3.3,509.0
703,2.31694,30.0,3.3,297.0
866,2.32865,279.0,3.3,832.0
869,2.322865,279.0,3.3,764.0
1027,1.56839,279.0,3.3,630.0
101,109.59300000000002,475.0,2.1746372382,1200.0
165,2.40941,30.0,3.3,556.0
169,30.0,30.0,166.9996605058621,2000.0
777,2.327495,279.0,3.3,917.0
259,17.625569501170943,30.0,4.1,2000.0
790,2.330665,463.0,3.3,771.0
25,121.50000000000001,500.0,3.446028639,300.0
198,2.41994,30.0,3.3,571.0
988,1.606455,279.0,3.3,518.0
1062,1.50868,30.0,3.3,259.0
13,102.06,500.0,3.508588743,1000.0
640,2.363215,30.0,3.3,545.0
198,30.0,30.0,23.89554728095497,2000.0
615,2.30211,30.0,3.3,300.0
253,13.14107542375303,30.0,4.1,2000.0
731,2.3412,80.0,3.3,1020.0
575,2.24805,30.0,3.3,272.0
62,1.8,30.0,5.6,120.0
712,2.32235,30.0,3.3,270.0
749,2.362405,279.0,3.3,905.0
396,2.40568,279.0,3.3,657.0
90,1.5,30.0,14.16614112248789,15000.0
852,2.359715,279.0,3.3,754.0
770,2.28893,279.0,3.3,1051.0
944,1.523445,279.0,3.3,450.0
788,2.37202,463.0,3.3,991.0
45,163.377,500.0,5.4705032115,200.0
1053,1.503365,30.0,3.3,261.0
546,2.371285,30.0,3.3,552.0
664,2.24353,30.0,3.3,131.0
834,2.312265,279.0,3.3,709.0
161,2.415625,30.0,3.3,580.0
539,2.379415,30.0,3.3,549.0
681,2.318515,30.0,3.3,294.0
346,2.4096,30.0,3.3,527.0
819,2.332455,279.0,3.3,874.0
816,2.359325,279.0,3.3,879.0
203,30.0,30.0,21.04653835737524,2000.0
192,2.4131,30.0,3.3,529.0
995,1.57387,279.0,3.3,564.0
587,2.299715,30.0,3.3,131.0
849,2.34933,279.0,3.3,779.0
150,2.44665,30.0,3.3,593.0
989,1.57707,279.0,3.3,535.0
315,2.40861,30.0,3.3,742.0
147,1.2,320.0,5.5,20000.0
495,2.34098,30.0,3.3,551.0
389,2.4205,187.0,3.3,621.0
773,2.28563,279.0,3.3,1064.0
916,1.585505,30.0,3.3,578.0
269,0.5,240.0,3.6,7500.0
194,30.0,30.0,27.66025513262915,2000.0
149,2.40139,30.0,3.3,547.0
248,2.37374,30.0,3.3,739.0
894,2.35645,279.0,3.3,635.0
154,1.2300000000000002,30.0,3.4,5000.0
381,2.412915,187.0,3.3,677.0
62,112.185,475.0,2.8626592,4000.0
207,2.400895,30.0,3.3,669.0
623,2.3414,30.0,3.3,553.0
297,210.0,900.0,8.29,280.0
64,27.945,475.0,2.91458,4000.0
433,2.343825,30.0,3.3,509.0
84,53.05500000000001,3424.0,3.1931065845,4000.0
1090,1.55258,279.0,3.3,264.0
18,156.85503512880564,500.0,3.0,1500.0
690,2.34074,30.0,3.3,284.0
536,2.333455,30.0,3.3,281.0
627,2.313575,30.0,3.3,264.0
567,2.345465,30.0,3.3,689.0
699,2.305175,30.0,3.3,275.0
61,1.8,30.0,46.03450980983376,120.0
74,0.35,40.0,20.0,25.0
113,5.714285714285714,620.0,4.7,15000.0
301,2.444705,30.0,3.3,760.0
687,2.33614,30.0,3.3,290.0
597,2.28991,30.0,3.3,300.0
563,2.338755,30.0,3.3,479.0
978,1.553505,279.0,3.3,494.0
872,2.296185,279.0,3.3,703.0
218,30.0,871.1537026109485,4.1,2000.0
133,12.0,1000.0,10.0,10000.0
81,0.38,40.0,52.87849395811032,25.0
237,2.40218,30.0,3.3,704.0
242,1.2625918309918218,30.0,4.1,2000.0
424,2.374285,463.0,3.3,622.0
393,2.43854,279.0,3.3,592.0
591,2.34014,30.0,3.3,265.0
551,2.356175,30.0,3.3,443.0
412,2.40136,463.0,3.3,525.0
921,1.535255,80.0,3.3,520.0
128,85.0,1464.2857142857142,12.0,15000.0
193,2.422605,30.0,3.3,524.0
113,1400.0,2600.0,60.0,25000.0
355,2.443,80.0,3.3,280.0
160,0.29400000000000004,30.0,3.4,5000.0
740,2.353895,187.0,3.3,936.0
351,10.0,45.0,2.5,6000.0
79,46.737,2280.0,2.8704067749,4000.0
1001,1.563605,279.0,3.3,557.0
472,2.363265,30.0,3.3,539.0
2,90.0,500.0,3.8,300.0
287,1.8,100.0,5.6,349.0
50,1.75,30.0,5.6,120.0
710,2.32582,30.0,3.3,265.0
880,2.3476,279.0,3.3,719.0
798,2.30307,142.0,3.3,955.0
1058,1.475425,30.0,3.3,279.0
996,1.537215,279.0,3.3,568.0
194,2.45299,30.0,3.3,547.0
667,2.32345,30.0,3.3,295.0
273,0.5,830.0,3.6,7500.0
544,2.337765,30.0,3.3,540.0
461,2.29544,30.0,3.3,631.0
620,2.30416,30.0,3.3,593.0
155,1.7400000000000002,30.0,3.4,5000.0
983,1.57287,279.0,3.3,617.0
607,2.35232,30.0,3.3,125.0
373,2.405805,187.0,3.3,629.0
136,30.81967213114754,1000.0,7.609269752041618,25000.0
677,2.31622,30.0,3.3,271.0
888,2.32854,279.0,3.3,779.0
500,2.366285,30.0,3.3,435.0
196,2.425035,30.0,3.3,610.0
954,1.57553,279.0,3.3,452.0
369,2.42815,80.0,3.3,595.0
484,2.31566,30.0,3.3,535.0
744,2.338955,187.0,3.3,914.0
555,2.36007,30.0,3.3,625.0
1006,1.568645,279.0,3.3,611.0
268,0.5,180.0,3.6,7500.0
910,1.58278,30.0,3.3,522.0
213,2.37955,30.0,3.3,648.0
596,2.273055,30.0,3.3,290.0
427,2.375985,30.0,3.3,544.0
468,2.331895,30.0,3.3,588.0
265,0.5,40.0,3.6,7500.0
905,1.54793,30.0,3.3,432.0
38,0.3,229.0,2.3,1500.0
138,209.8360655737705,1000.0,7.609269752041619,25000.0
897,2.361415,279.0,3.3,641.0
1011,1.56582,279.0,3.3,642.0
150,5.1,320.0,5.5,20000.0
1048,1.537525,279.0,3.3,612.0
485,2.327975,30.0,3.3,549.0
123,10.0,45.0,2.5,6000.0
188,30.0,30.0,49.70854015563393,2000.0
261,2.43946,30.0,3.3,752.0
707,2.313735,30.0,3.3,294.0
489,2.3979,30.0,3.3,579.0
537,2.36416,30.0,3.3,477.0
259,2.449315,30.0,3.3,783.0
58,135.27,500.0,4.45831373175,100.0
335,0.236,65.0,8.0,10000.0
950,1.541345,279.0,3.3,517.0
622,2.29388,30.0,3.3,256.0
83,53.05500000000001,3424.0,4.4416643292,4000.0
234,2.39383,30.0,3.3,627.0
1030,1.60204,279.0,3.3,588.0
161,0.6300000000000001,30.0,3.4,5000.0
299,2.352925,30.0,3.3,779.0
257,2.387805,30.0,3.3,784.0
128,6.0,30.0,8.0,5000.0
213,30.0,30.0,7.330930806932752,2000.0
229,30.0,178.81352283102163,4.1,2000.0
499,2.38333,30.0,3.3,526.0
528,2.35212,30.0,3.3,415.0
585,2.29624,30.0,3.3,300.0
341,0.236,65.0,8.0,200.0
655,2.323595,30.0,3.3,270.0
72,0.073,40.0,20.0,25.0
27,0.3,110.0,2.3,15000.0
256,14.194805883869696,30.0,4.1,2000.0
970,1.5492,279.0,3.3,557.0
889,2.34126,279.0,3.3,870.0
708,2.316395,30.0,3.3,277.0
260,2.39738,30.0,3.3,794.0
812,2.28536,279.0,3.3,818.0
221,30.0,354.94063397367944,4.1,2000.0
981,1.5801,279.0,3.3,570.0
574,2.285455,30.0,3.3,292.0
307,2.40272,30.0,3.3,788.0
1080,1.529035,30.0,3.3,265.0
349,2.4302,30.0,3.3,566.0
135,2.41965,30.0,3.3,588.0
143,52.60276487101244,1000.0,7.61,25000.0
108,5.3061224489795915,620.0,4.7,15000.0
927,1.55664,80.0,3.3,596.0
184,2.402945,30.0,3.3,603.0
312,0.7,45.0,3.6,8.0
416,2.422965,463.0,3.3,552.0
238,2.421955,30.0,3.3,724.0
747,2.371565,279.0,3.3,967.0
748,2.35954,279.0,3.3,975.0
953,1.588805,279.0,3.3,445.0
406,2.38553,463.0,3.3,647.0
824,2.338665,279.0,3.3,954.0
859,2.346605,279.0,3.3,767.0
912,1.52848,30.0,3.3,491.0
276,2.41388,30.0,3.3,780.0
1014,1.547855,279.0,3.3,606.0
366,2.40038,80.0,3.3,561.0
78,0.34,40.0,60.0,25.0
5,166.37400000000002,500.0,2.616534525,10000.0
715,2.364675,30.0,3.3,261.0
490,2.409495,30.0,3.3,571.0
550,2.29085,30.0,3.3,672.0
825,2.36071,279.0,3.3,915.0
19,133.65,500.0,3.3555759,300.0
990,1.57388,279.0,3.3,514.0
318,5.22,320.0,6.0,60000.0
10,74.50608899297423,500.0,3.0,300.0
1002,1.592985,279.0,3.3,578.0
972,1.56708,279.0,3.3,597.0
133,2.36146,30.0,3.3,570.0
116,15.714285714285714,620.0,4.7,15000.0
671,2.341635,30.0,3.3,266.0
174,2.38125,30.0,3.3,660.0
39,0.3,238.0,2.3,1500.0
524,2.3132,30.0,3.3,677.0
187,30.0,30.0,58.71710488997801,2000.0
512,2.36059,30.0,3.3,257.0
