,RMSE,R2,MAE
1,5.386434404636742,0.8434812113168287,2.258768297736969
2,4.85405873125063,0.8728917379072697,2.1184100572375293
3,4.6327288627366485,0.8842189473380144,2.073996924619833
4,4.368172257089146,0.8970649594712183,2.0757612539471864
5,4.120583347357946,0.9084030245366626,2.0668853933061606
6,4.150025513641912,0.9070894008498512,2.0584206970015355
7,4.26164842624172,0.9020241669165292,2.088904670358485
8,4.688184501904606,0.8814304648982342,2.184232106436243
9,5.21171098383115,0.8534707336977183,2.2957331382376913
10,5.370963712867927,0.8443790135937005,2.3472108138057632
11,5.7344162099532845,0.8226046833716599,2.416428715688077
12,6.279279578467017,0.787292223725964,2.5307869783726233
13,6.3004760603875365,0.7858537573412319,2.5521919237432984
14,6.242557276582676,0.7897728518601719,2.548143286188493
15,6.359706735388883,0.7818084605906357,2.5648956857276746
16,6.402745291081123,0.778845297614964,2.588253472456228
17,6.518181265210463,0.7707989543246969,2.6256053322869
18,6.531341694591716,0.7698724905938124,2.641783695213324
19,6.5746737883604665,0.7668088058192859,2.6458810681623146
20,6.6175894963976125,0.7637545928320458,2.6445668646974347
21,6.52411342597482,0.7703815752726805,2.6121330498736732
22,6.545934966831145,0.7688429731171482,2.638684085298224
23,6.535679569850654,0.7695667047442029,2.643636537220728
24,6.52295732810255,0.7704629465899904,2.6318252948094827
25,6.5267034505173935,0.770199225467943,2.65271827915728
26,6.48749141792828,0.7729521885511266,2.654190343034957
27,6.482982118656491,0.7732677098046574,2.66566662743357
28,6.521907683206612,0.7705368127827448,2.680952411907703
29,6.528865478029719,0.7700469532247732,2.69513304668627
30,6.57859914331783,0.76653027292378,2.70536046882913
31,6.640518755528799,0.7621146250716865,2.727790859147355
32,6.65425959832614,0.7611291215065187,2.7271010447400945
33,6.688313312025373,0.7586779833395663,2.7273622863989804
34,6.74662597605352,0.7544516639110626,2.7385164235073316
35,6.886284169595019,0.7441805222330681,2.7569865383942904
36,6.868659235100719,0.7454883484729524,2.755327326520038
37,6.93847101025947,0.7402884384328828,2.771966672807403
38,6.908883621003901,0.7424986669975567,2.7638201924355497
39,6.933638285313305,0.7406500966252059,2.7845689878723743
40,6.961796224144066,0.7385393470031829,2.801405734824972
